frame_idx,second,lampu,env_mean,panel_mean,panel_max,around_mean,delta,std_panel,panel_valid,panel_occluded,mesin_aktif_panel,roll_occluded,operator_near_roll,movement,movement_ema,status_raw,on_cnt,off_cnt,on_sec_count,status_final,operator_status
5280,176,TERANG,149.38,86.06,135,73.6,12.46,4.69,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
5310,177,TERANG,149.38,86.05,135,73.59,12.46,4.71,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
5340,178,TERANG,149.38,86.02,135,73.56,12.46,4.69,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
5370,179,TERANG,149.38,86.04,135,73.52,12.53,4.68,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
5400,180,TERANG,149.38,86.03,135,73.56,12.47,4.67,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
5430,181,TERANG,149.38,86.12,135,73.5,12.62,4.65,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
5460,182,TERANG,149.35,86.06,135,73.63,12.43,4.67,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
5490,183,TERANG,149.38,86.06,135,73.6,12.46,4.69,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
5520,184,TERANG,149.35,85.49,142,72.79,12.7,5.43,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
5550,185,TERANG,149.31,85.42,142,72.87,12.54,5.39,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
5580,186,TERANG,149.36,85.38,142,72.78,12.6,5.36,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
5610,187,TERANG,149.34,85.42,142,72.84,12.58,5.41,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
5640,188,TERANG,149.31,85.43,142,72.85,12.58,5.4,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
5670,189,TERANG,149.29,85.46,142,72.73,12.73,5.47,0,0,0,0,0,0,0,OFF,0,0,0,OFF,TIDAK ADA
