frame_idx,second,lampu,env_mean,panel_mean,panel_max,around_mean,delta,std_panel,panel_valid,panel_occluded,mesin_aktif_panel,roll_occluded,operator_near_roll,movement,movement_ema,status_raw,on_cnt,off_cnt,on_sec_count,status_final,operator_status
4260,142,TERANG,144.48,201.75,249,117.66,84.09,16.61,1,0,1,0,0,0,8.88,IDLE,0,6,0,IDLE,TIDAK ADA
4290,143,TERANG,144.49,201.86,247,117.69,84.17,16.49,1,0,1,0,0,0,61.38,IDLE,0,2,0,IDLE,TIDAK ADA
4320,144,TERANG,144.48,201.62,246,117.54,84.08,16.09,1,0,1,0,0,0,532.52,ON,3,0,12,ON,ADA
4350,145,TERANG,144.48,201.41,248,117.71,83.71,17.17,1,0,1,1,1,0,191.65,IDLE,0,6,0,IDLE,TIDAK ADA
4380,146,TERANG,144.72,201.87,246,117.82,84.06,16.31,1,0,1,1,1,0,112.27,IDLE,0,6,0,IDLE,TIDAK ADA
4410,147,TERANG,144.55,201.45,247,117.83,83.61,17.01,1,0,1,1,1,0,105.31,IDLE,0,6,0,IDLE,TIDAK ADA
4440,148,TERANG,144.59,201.51,247,117.85,83.66,16.86,1,0,1,1,1,0,74.4,IDLE,0,6,0,IDLE,TIDAK ADA
4470,149,TERANG,145.32,202.46,248,118.98,83.48,16.87,1,0,1,1,1,0,33.87,IDLE,0,6,0,IDLE,TIDAK ADA
4500,150,TERANG,145.17,202.86,249,118.74,84.13,16.68,1,0,1,1,1,0,203.33,IDLE,0,6,0,IDLE,TIDAK ADA
4530,151,TERANG,145.12,203.09,249,118.5,84.59,16.44,1,0,1,1,1,0,207.48,IDLE,0,6,0,IDLE,TIDAK ADA
4560,152,TERANG,145.08,202.8,249,118.82,83.98,16.8,1,0,1,1,1,0,264.32,IDLE,0,6,0,IDLE,TIDAK ADA
4590,153,TERANG,144.93,202.98,248,118.4,84.58,16.65,1,0,1,0,0,0,547.7,ON,3,0,13,ON,ADA
4620,154,TERANG,145.13,202.56,249,118.46,84.1,16.59,1,0,1,0,0,0,149.87,IDLE,1,0,0,IDLE,TIDAK ADA
4650,155,TERANG,145.13,202.69,249,117.69,85,16.78,1,0,1,0,0,0,537.67,ON,3,0,2,ON,ADA
4680,156,TERANG,145.02,202.48,249,117.1,85.39,16.77,1,0,1,0,0,0,255.58,IDLE,2,0,0,IDLE,TIDAK ADA
4710,157,TERANG,144.99,202.91,249,118.15,84.76,16.66,1,0,1,0,0,0,198.15,IDLE,2,0,0,IDLE,TIDAK ADA
4740,158,TERANG,145.17,203.01,249,118.5,84.51,16.31,1,0,1,0,0,0,219.96,IDLE,2,0,0,IDLE,TIDAK ADA
4770,159,TERANG,145.05,202.78,248,118.75,84.02,17.17,1,0,1,0,0,0,381.05,ON,3,0,3,ON,ADA
4800,160,TERANG,145.25,202.21,249,118.21,84,15.92,1,0,1,0,0,0,492.36,ON,3,0,33,ON,ADA
4830,161,TERANG,145.36,203.31,243,118.5,84.81,15.22,1,0,1,0,0,0,805.66,ON,3,0,63,ON,TIDAK ADA
4860,162,TERANG,145.31,203.11,244,118.64,84.47,15.47,1,0,1,0,0,0,873.05,ON,3,0,93,ON,ADA
4890,163,TERANG,145.28,203.74,246,118.82,84.92,15.79,1,0,1,0,0,0,557.83,ON,3,0,123,ON,ADA
4920,164,TERANG,145.32,203.66,244,118.95,84.7,14.73,1,0,1,0,0,0,767.53,ON,3,0,153,ON,ADA
4950,165,TERANG,145.24,203.67,243,118.88,84.79,14.55,1,0,1,0,0,0,842.7,ON,3,0,183,ON,ADA
4980,166,TERANG,145.12,203.49,245,118.88,84.61,15.23,1,0,1,0,0,0,833.23,ON,3,0,213,ON,ADA
5010,167,TERANG,145.22,203.48,245,118.93,84.55,14.54,1,0,1,0,0,0,913.53,ON,3,0,243,ON,ADA
5040,168,TERANG,145.31,203.75,243,120.46,83.29,14.53,1,0,1,0,0,0,858.85,ON,3,0,273,ON,ADA
5070,169,TERANG,145.26,206.33,243,122.95,83.38,14.99,1,0,1,0,0,0,1157.65,ON,3,0,303,ON,ADA
5100,170,TERANG,145.16,203.74,244,119.24,84.5,14.93,1,0,1,0,0,0,1100.67,ON,3,0,333,ON,ADA
5130,171,TERANG,144.98,203.73,250,120.99,82.74,16.14,1,0,1,0,0,0,1044.64,ON,3,0,363,ON,ADA
5160,172,TERANG,144.77,0,0,0,0,0,-1,1,1,0,0,0,899.6,ON,3,0,393,ON,ADA
5190,173,TERANG,144.89,203.96,249,120.98,82.98,15.88,1,0,1,0,0,0,1015.69,ON,3,0,423,ON,ADA
5220,174,TERANG,144.83,204.11,249,120.94,83.17,15.97,1,0,1,0,0,0,974.34,ON,3,0,453,ON,ADA
5250,175,TERANG,144.66,204.14,249,121.23,82.92,16.02,1,0,1,0,0,0,899.73,ON,3,0,483,ON,ADA
5280,176,TERANG,141.44,204.33,249,121.41,82.91,15.82,1,0,1,0,0,0,284.72,ON,3,0,513,ON,ADA
5310,177,TERANG,132.62,204.32,249,121.18,83.13,15.39,1,0,1,0,0,0,145.27,ON,3,0,543,ON,ADA
5340,178,TERANG,140.38,204.13,249,121.21,82.92,15.7,1,0,1,0,0,0,84.62,IDLE,0,6,0,IDLE,TIDAK ADA
5370,179,TERANG,141.74,204.18,249,121.26,82.92,15.72,1,0,1,0,0,0,50.69,IDLE,0,6,0,IDLE,TIDAK ADA
5400,180,TERANG,142.49,204.26,248,121.38,82.88,15.74,1,0,1,0,0,0,40.93,IDLE,0,6,0,IDLE,TIDAK ADA
5430,181,TERANG,143.22,203.85,249,120.51,83.34,16.13,1,0,1,0,0,0,9.32,IDLE,0,6,0,IDLE,TIDAK ADA
5460,182,TERANG,143.61,203.73,248,120.65,83.08,15.79,1,0,1,0,0,0,4.47,IDLE,0,6,0,IDLE,TIDAK ADA
5490,183,TERANG,144.64,203.35,251,120.52,82.83,15.57,1,0,1,0,0,0,0.41,IDLE,0,6,0,IDLE,TIDAK ADA
5520,184,TERANG,144.6,203.42,250,120.67,82.75,15.64,1,0,1,0,0,0,0.82,IDLE,0,6,0,IDLE,TIDAK ADA
5550,185,TERANG,144.92,203.42,251,120.6,82.82,15.21,1,0,1,0,0,0,10.39,IDLE,0,6,0,IDLE,TIDAK ADA
5580,186,TERANG,144.81,203.38,250,120.58,82.8,15.46,1,0,1,0,0,0,0.36,IDLE,0,6,0,IDLE,TIDAK ADA
